artist_count,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,kmeans_1,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,kmeans_10
3.0,1682.0,276259178.0,24.0,30.0,119.0,75.0,48.0,53.0,18.0,0.0,18.0,34.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,0.0,2.0
5.0,182.0,54225632.0,3.0,1.0,110.0,76.0,96.0,72.0,32.0,0.0,9.0,4.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,4.0,6.0,2.0
1.0,2335.0,681583126.0,82.0,50.0,132.0,56.0,20.0,55.0,45.0,1.0,32.0,3.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
4.0,283.0,81102253.0,6.0,26.0,124.0,84.0,65.0,50.0,67.0,0.0,13.0,6.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
2.0,293.0,11956641.0,5.0,30.0,133.0,93.0,68.0,65.0,42.0,0.0,12.0,25.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
3.0,437.0,11599388.0,17.0,26.0,97.0,79.0,92.0,89.0,5.0,0.0,6.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,2.0,3.0,8.0
2.0,1275.0,611700552.0,13.0,5.0,90.0,59.0,52.0,48.0,38.0,5.0,10.0,11.0,0.0,0.0,0.0,2.0,4.0,0.0,5.0,2.0,1.0,3.0
2.0,6135.0,1133865788.0,71.0,99.0,80.0,65.0,27.0,69.0,8.0,0.0,53.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,3.0
1.0,1507.0,411747614.0,24.0,44.0,120.0,60.0,24.0,35.0,73.0,0.0,31.0,3.0,0.0,1.0,2.0,1.0,3.0,5.0,1.0,5.0,4.0,1.0
1.0,539.0,255932395.0,7.0,4.0,140.0,74.0,96.0,80.0,18.0,0.0,5.0,5.0,0.0,1.0,2.0,3.0,1.0,4.0,2.0,0.0,7.0,7.0
1.0,86.0,31873544.0,7.0,3.0,128.0,81.0,90.0,77.0,1.0,0.0,9.0,5.0,0.0,0.0,0.0,1.0,3.0,5.0,2.0,4.0,0.0,2.0
1.0,324.0,95053634.0,13.0,8.0,122.0,78.0,70.0,81.0,57.0,0.0,10.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,2.0,1.0,3.0
2.0,17138.0,1279434863.0,119.0,974.0,130.0,47.0,86.0,92.0,8.0,0.0,5.0,24.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,1.0,6.0,6.0
2.0,894.0,233801632.0,14.0,66.0,160.0,69.0,61.0,71.0,33.0,0.0,31.0,20.0,0.0,1.0,1.0,0.0,2.0,5.0,4.0,0.0,4.0,6.0
1.0,1622.0,1481349984.0,0.0,356.0,144.0,73.0,87.0,70.0,6.0,0.0,28.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,7.0,0.0,4.0
3.0,561.0,142095275.0,4.0,12.0,192.0,50.0,85.0,52.0,11.0,0.0,28.0,6.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,5.0,6.0,6.0
2.0,5871.0,618885532.0,81.0,58.0,163.0,54.0,40.0,67.0,0.0,0.0,9.0,17.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,2.0
1.0,5866.0,1167330737.0,107.0,95.0,154.0,61.0,41.0,74.0,21.0,0.0,40.0,6.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,4.0,5.0
1.0,3859.0,929964809.0,133.0,3.0,117.0,73.0,31.0,69.0,6.0,0.0,11.0,4.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,0.0,4.0,5.0
2.0,961.0,436027885.0,19.0,10.0,138.0,78.0,89.0,83.0,10.0,0.0,12.0,5.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
1.0,6457.0,657723613.0,98.0,453.0,96.0,86.0,74.0,80.0,33.0,0.0,8.0,6.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,0.0,4.0,5.0
